********************************************************************************
*      Signed document issued by Sphere Online Judge  (http://www.spoj.com)      
********************************************************************************

----- BEGIN OF DATA -----
Submissions by [war] in contest [SPOJ].  DoI: 2016-01-31 11:21:53.
/------------------------------------------------------------------------------\
|   ID    |        DATE         |  PROBLEM  |  RESULT   | TIME  |  MEM   | LNG |
| 10857161 | 2014-01-13 06:27:14 |      ROCK |        AC |  0.02 |   3252 | C++ |
| 10856812 | 2014-01-13 03:58:58 |   MAY99_2 |        AC |  0.00 |   2824 | C++ |
| 10855425 | 2014-01-12 20:08:33 |   MAY99_2 |        WA |  0.00 |   2824 | C++ |
| 10855412 | 2014-01-12 20:05:31 |   MAY99_2 |        WA |  0.01 |   2824 | C++ |
| 10854654 | 2014-01-12 17:57:47 |     NY10E |        AC |  0.00 |   2692 | C++ |
| 10854459 | 2014-01-12 17:26:25 |     NY10E |        WA |  0.01 |   2688 | C++ |
| 10854300 | 2014-01-12 17:02:16 |    TSHOW1 |        AC |  0.00 |   2688 | C++ |
| 10853479 | 2014-01-12 14:55:13 |    MATSUM |        AC |  0.63 |  10904 | C++ |
| 10853349 | 2014-01-12 14:37:31 |    MATSUM |        WA |  5.55 |  10904 | C++ |
| 10853346 | 2014-01-12 14:36:53 |    MATSUM |        RE |  4.64 |  10888 | C++ |
| 10853284 | 2014-01-12 14:26:28 |    MATSUM |       TLE | -1.00 |  14976 | C++ |
| 10853271 | 2014-01-12 14:24:42 |    MATSUM |       TLE | -1.00 |  11016 | C++ |
| 10849143 | 2014-01-11 20:30:06 |    AMR12D |        AC |  0.00 |   2820 | C++ |
| 10846772 | 2014-01-11 14:44:54 |    INVCNT |        AC |  0.12 |   4176 | C++ |
| 10841090 | 2014-01-10 16:53:52 |  GUESSTHE |        AC |  0.02 |   2824 | C++ |
| 10841017 | 2014-01-10 16:46:24 |  GUESSTHE |        WA |  0.22 |   2824 | C++ |
| 10841002 | 2014-01-10 16:44:45 |  GUESSTHE |        WA |  0.23 |   2824 | C++ |
| 10840184 | 2014-01-10 15:12:45 |    BRCKTS |        AC |  0.74 |   3740 | C++ |
| 10839835 | 2014-01-10 14:28:13 |    BRCKTS |        AC |  0.74 |   3740 | C++ |
| 10839741 | 2014-01-10 14:15:57 |    BRCKTS |        WA |  7.48 |   3740 | C++ |
| 10837436 | 2014-01-10 08:16:49 |    BRCKTS |       TLE | -1.00 |   2860 | C++ |
| 10837394 | 2014-01-10 08:06:40 |    BRCKTS |       TLE | -1.00 |   4384 | C++ |
| 10835571 | 2014-01-09 21:02:09 |  CADYDIST |        AC |  0.10 |   4252 | C++ |
| 10835349 | 2014-01-09 20:28:32 |   NOTATRI |        AC |  0.09 |   2824 | C++ |
| 10834704 | 2014-01-09 18:53:24 |      SHOP |        AC |  0.00 |   2832 | C++ |
| 10833028 | 2014-01-09 15:30:04 |      SHOP |       TLE | -1.00 |   2828 | C++ |
| 10833012 | 2014-01-09 15:28:32 |      SHOP |       TLE | -1.00 |   2828 | C++ |
| 10832712 | 2014-01-09 14:58:07 |      TOE1 |        AC |  0.00 |   2824 | C++ |
| 10832658 | 2014-01-09 14:50:40 |      TOE1 |        WA |  0.00 |   2824 | C++ |
| 10832637 | 2014-01-09 14:47:42 |      TOE1 |        WA |  0.01 |   2824 | C++ |
| 10830499 | 2014-01-09 09:20:26 |    BABTWR |        AC |  0.00 |   2824 | C++ |
| 10830470 | 2014-01-09 09:16:25 |    BABTWR |        WA |  0.01 |   2824 | C++ |
| 10830467 | 2014-01-09 09:15:46 |    BABTWR |        RE |  0.00 |   2824 | C++ |
| 10826438 | 2014-01-08 16:43:55 |     SQRBR |        AC |  0.00 |   2696 | C++ |
| 10819495 | 2014-01-07 18:32:25 |  BINSTIRL |        AC |  0.00 |   2688 | C++ |
| 10818598 | 2014-01-07 16:37:22 |    MCOINS |        AC |  0.00 |   6592 | C++ |
| 10818570 | 2014-01-07 16:34:05 |    MCOINS |        AC |  0.00 |   6592 | C++ |
| 10818555 | 2014-01-07 16:31:42 |    MCOINS |        AC |  0.00 |   6592 | C++ |
| 10818528 | 2014-01-07 16:27:57 |    MCOINS |        AC |  0.00 |   6592 | C++ |
| 10818508 | 2014-01-07 16:24:40 |    MCOINS |        WA |  0.04 |   6592 | C++ |
| 10817696 | 2014-01-07 14:32:10 |      RPLC |        AC |  0.05 |   2688 | C++ |
| 10817570 | 2014-01-07 14:13:46 |  ALICESIE |        AC |  0.00 |   2688 | C++ |
| 10817488 | 2014-01-07 14:01:45 |    ASSIST |        AC |  0.00 |   3736 | C++ |
| 10817471 | 2014-01-07 13:59:38 |    ASSIST |        AC |  0.01 |   3740 | C++ |
| 10816179 | 2014-01-07 09:36:51 |   CHOCOLA |        AC |  0.00 |   2708 | C++ |
| 10816154 | 2014-01-07 09:31:56 |   CHOCOLA |        WA |  0.10 |   2708 | C++ |
| 10815762 | 2014-01-07 07:38:08 |     SPEED |        AC |  0.00 |   2688 | C++ |
| 10814203 | 2014-01-06 21:28:32 |    COMDIV |        AC |  0.49 |   2688 | C++ |
| 10814160 | 2014-01-06 21:21:37 |    COMDIV |       TLE | -1.00 |   2688 | C++ |
| 10814048 | 2014-01-06 20:50:50 |  HISTOGRA |        AC |  0.04 |  10640 | C++ |
| 10813779 | 2014-01-06 19:47:39 |  ANARC08H |        AC |  0.04 |   2688 | C++ |
| 10810322 | 2014-01-06 10:14:31 |  ARRAYSUB |        AC |  0.04 |   6860 | C++ |
| 10810299 | 2014-01-06 10:11:31 |  ARRAYSUB |        AC |  0.04 |   6860 | C++ |
| 10810223 | 2014-01-06 10:00:32 |  ARRAYSUB |        AC |  0.04 |   2952 | C++ |
| 10810215 | 2014-01-06 09:59:37 |  ARRAYSUB |        WA |  0.67 |   6860 | C++ |
| 10810165 | 2014-01-06 09:53:44 |  ARRAYSUB |        WA |  0.66 |   6860 | C++ |
